id,tipo_zona,frente_lote,calle,forma_lote,nombre_zona,tipo_edificio,estilo,calidad_gral,condicion_gral,año_construccion,calidad_exteriores,material_exteriores,condicion_exteriores,calidad_sotano,condicion_sotano,tipo_sotano,calefaccion,calidad_calefaccion,aire_acondicionado,baños_completos,baños_medios,recamaras_sup,calidad_cocina,cuartos_sup,tipo_garage,terminado_garage,num_coches,calidad_garage,condicion_garage,año_venta,mes_venta,tipo_venta,condicion_venta,lat,long,area_sotano_m2,area_1er_piso_m2,area_2o_piso_m2,area_hab_m2,area_garage_m2,area_lote_m2,precio_miles,valor_misc_miles,precio_m2_miles
11,RL,70,Pave,Reg,Sawyer,1Fam,1Story,5,5,1965,TA,HdBoard,TA,TA,TA,Rec,GasA,Ex,Y,1,0,3,TA,5,Detchd,Unf,1,TA,TA,2008,2,WD,Normal,42.033611,-93.669348,96.61912,96.61912,0,96.61912,35.674752,1040.5136,129.5,0,1.3403144222385797
12,RL,85,Pave,IR1,NridgHt,1Fam,2Story,9,5,2005,Ex,WdShing,TA,Ex,TA,GLQ,GasA,Ex,Y,3,0,4,Ex,11,BuiltIn,Fin,3,TA,TA,2006,7,New,Partial,42.060356,-93.657107,109.161025,109.811346,106.095226,215.906572,68.376608,1107.775372,345,0,1.597913378940591
13,RL,NA,Pave,IR2,Sawyer,1Fam,1Story,5,6,1962,TA,HdBoard,TA,TA,TA,ALQ,GasA,TA,Y,1,0,2,TA,4,Detchd,Unf,1,TA,TA,2008,9,WD,Normal,42.033611,-93.669348,84.727536,84.727536,0,84.727536,32.701856,1204.766104,144,0,1.6995655343972236
14,RL,91,Pave,IR1,CollgCr,1Fam,1Story,7,5,2006,Gd,VinylSd,TA,Gd,TA,Unf,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,3,TA,TA,2007,8,New,Partial,42.021051,-93.685643,138.797082,138.797082,0,138.797082,78.03852,989.602756,279.5,0,2.013731095586001
15,RL,NA,Pave,IR1,NAmes,1Fam,1Story,6,5,1960,TA,MetalSd,TA,TA,TA,BLQ,GasA,TA,Y,1,1,2,TA,5,Attchd,RFn,1,TA,TA,2008,5,WD,Normal,42.042966,-93.613556,116.407459,116.407459,0,116.407459,32.701856,1014.50076,157,0,1.3487108244498318
16,RM,51,Pave,Reg,BrkSide,1Fam,1.5Unf,7,8,1929,TA,Wd Sdng,TA,TA,TA,Unf,GasA,Ex,Y,1,0,2,TA,5,Detchd,Unf,2,TA,TA,2007,7,WD,Normal,42.03359,-93.627552,77.295296,79.339162,0,79.339162,53.512128,568.56636,132,0,1.6637433100188277
17,RL,NA,Pave,IR1,NAmes,1Fam,1Story,6,7,1970,TA,Wd Sdng,TA,TA,TA,ALQ,GasA,Ex,Y,1,0,2,TA,5,Attchd,Fin,2,TA,TA,2010,3,WD,Normal,42.042966,-93.613556,93.274612,93.274612,0,93.274612,44.59344,1044.322623,149,0.7,1.5974336081934062
18,RL,72,Pave,Reg,Sawyer,Duplex,1Story,4,5,1967,TA,MetalSd,TA,NA,NA,NA,GasA,TA,Y,2,0,2,TA,6,CarPort,Unf,2,TA,TA,2006,10,WD,Normal,42.033611,-93.669348,0,120.402288,0,120.402288,47.937948,1002.516273,90,0.5,0.7474941007765566
19,RL,66,Pave,Reg,SawyerW,1Fam,1Story,5,5,2004,TA,VinylSd,TA,TA,TA,GLQ,GasA,Ex,Y,1,1,3,Gd,6,Detchd,Unf,2,TA,TA,2008,6,WD,Normal,42.03554,-93.685131,103.493942,103.493942,0,103.493942,53.512128,1272.306585,159,0,1.536321807125677
20,RL,70,Pave,Reg,NAmes,1Fam,1Story,5,6,1958,TA,BrkFace,TA,TA,TA,LwQ,GasA,TA,Y,1,0,3,TA,6,Attchd,Unf,1,TA,TA,2009,5,COD,Abnorml,42.042966,-93.613556,95.597187,124.397117,0,124.397117,27.313482,702.34668,139,0,1.1173892398165466
21,RL,101,Pave,IR1,NridgHt,1Fam,2Story,8,5,2005,Gd,VinylSd,TA,Ex,TA,Unf,GasA,Ex,Y,3,1,4,Gd,9,BuiltIn,RFn,3,TA,TA,2006,11,New,Partial,42.060356,-93.657107,107.58167399999999,107.58167399999999,113.155854,220.737528,79.246259,1320.616145,325.3,0,1.4736959453491751
22,RM,57,Pave,Reg,IDOTRR,1Fam,1.5Unf,7,7,1930,TA,Wd Sdng,TA,TA,TA,Unf,GasA,Ex,Y,1,0,3,Gd,6,Attchd,Unf,1,TA,TA,2007,6,WD,Normal,42.019208,-93.623401,59.179211,102.936524,0,102.936524,26.01284,692.034447,139.4,0,1.3542326336956938
23,RL,75,Pave,Reg,CollgCr,1Fam,1Story,8,5,2002,Gd,VinylSd,TA,Gd,TA,Unf,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,2,TA,TA,2008,9,WD,Normal,42.021051,-93.685643,165.088631,166.760885,0,166.760885,49.610202,905.061026,230,0,1.379220312964878
24,RM,44,Pave,Reg,MeadowV,TwnhsE,1Story,5,7,1976,TA,CemntBd,TA,Gd,TA,GLQ,GasA,TA,Y,1,0,3,TA,6,Attchd,Unf,2,TA,TA,2007,6,WD,Normal,41.991866,-93.602441,96.61912,98.47718,0,98.47718,53.140516,392.422272,129.9,0,1.319087325611883
25,RL,NA,Pave,IR1,Sawyer,1Fam,1Story,5,8,1968,TA,Plywood,Gd,TA,TA,Rec,GasA,Ex,Y,1,0,3,Gd,6,Attchd,Unf,1,TA,TA,2010,5,WD,Normal,42.033611,-93.669348,98.47718,98.47718,0,98.47718,25.08381,766.078138,154,0,1.5638140734736716
26,RL,110,Pave,Reg,NridgHt,1Fam,1Story,8,5,2007,Gd,VinylSd,TA,Gd,TA,Unf,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,3,TA,TA,2009,7,WD,Normal,42.060356,-93.657107,145.486098,148.6448,0,148.6448,82.68367,1322.00969,256.3,0,1.7242446422612834
27,RL,60,Pave,Reg,NAmes,1Fam,1Story,5,7,1951,TA,Wd Sdng,TA,TA,TA,BLQ,GasA,TA,Y,1,0,3,Gd,5,Detchd,Unf,2,TA,TA,2010,5,WD,Normal,42.042966,-93.613556,83.6127,83.6127,0,83.6127,53.512128,668.9016,134.8,0,1.6121952765548775
28,RL,98,Pave,Reg,NridgHt,1Fam,1Story,8,5,2007,Gd,VinylSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,3,TA,TA,2010,5,WD,Normal,42.060356,-93.657107,158.306712,158.306712,0,158.306712,71.721116,1066.340634,306,0,1.9329565760926168
29,RL,47,Pave,IR1,NAmes,1Fam,1Story,5,6,1957,TA,MetalSd,TA,TA,TA,BLQ,GasA,TA,Y,1,0,2,TA,6,Attchd,RFn,1,TA,TA,2006,12,WD,Normal,42.042966,-93.613556,137.868052,148.6448,0,148.6448,29.636057,1516.269863,207.5,0,1.3959452332002196
30,RM,60,Pave,IR1,BrkSide,1Fam,1Story,4,6,1927,TA,MetalSd,TA,TA,TA,Unf,GasA,Fa,N,1,0,1,Fa,4,Detchd,Unf,1,Fa,TA,2008,5,WD,Normal,42.03359,-93.627552,48.30956,48.30956,0,48.30956,22.29672,587.518572,68.5,0,1.4179388096269145
31,C (all),50,Pave,Reg,IDOTRR,1Fam,2Story,4,4,1920,TA,BrkFace,Fa,TA,TA,Unf,GasA,TA,N,1,0,3,TA,6,Detchd,Unf,1,TA,Fa,2008,7,WD,Normal,42.019208,-93.623401,60.294047,60.294047,62.059204,122.353251,23.22575,789.6754999999999,40,0,0.32692224908678563
32,RL,NA,Pave,IR1,Sawyer,1Fam,1Story,5,6,1966,TA,HdBoard,TA,TA,TA,Unf,GasA,Gd,Y,1,1,3,Gd,6,Attchd,Unf,1,TA,TA,2008,6,WD,Normal,42.033611,-93.669348,114.084884,114.084884,0,114.084884,25.176713,793.763232,149.35,0,1.3091129583828125
33,RL,85,Pave,Reg,CollgCr,1Fam,1Story,8,5,2007,Gd,VinylSd,TA,Ex,TA,Unf,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,2,TA,TA,2008,1,WD,Normal,42.021051,-93.685643,114.642302,114.642302,0,114.642302,44.965052,1026.485247,179.9,0,1.5692287825832387
34,RL,70,Pave,IR1,NAmes,1Fam,1Story,5,5,1959,TA,BrkFace,TA,TA,TA,Rec,GasA,Gd,Y,1,1,4,Gd,6,Attchd,RFn,2,TA,TA,2010,4,WD,Normal,42.042966,-93.613556,129.878394,157.9351,0,157.9351,41.527641,980.312456,165.5,0,1.047898788806288
35,RL,60,Pave,Reg,NridgHt,TwnhsE,1Story,9,5,2005,Ex,MetalSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,0,2,Ex,6,Attchd,Fin,2,TA,TA,2007,8,WD,Normal,42.060356,-93.657107,145.021583,145.021583,0,145.021583,51.654068,679.399639,277.5,0,1.9135082810397954
36,RL,108,Pave,Reg,NridgHt,1Fam,2Story,8,5,2004,Gd,VinylSd,TA,Ex,TA,Unf,GasA,Ex,Y,3,1,4,Gd,9,BuiltIn,Fin,3,TA,TA,2006,9,WD,Normal,42.060356,-93.657107,103.772651,105.166196,122.63195999999999,227.798156,64.195973,1246.5724539999999,309,0,1.3564640093047988
37,RL,112,Pave,Reg,CollgCr,1Fam,1Story,5,5,1994,TA,VinylSd,TA,Gd,TA,Unf,GasA,Ex,Y,1,1,3,TA,6,Attchd,Unf,2,TA,TA,2009,6,WD,Normal,42.021051,-93.685643,101.914591,101.914591,0,101.914591,62.430816,1008.833677,145,0,1.4227599657442573
38,RL,74,Pave,Reg,NAmes,1Fam,1Story,5,6,1954,TA,Wd Sdng,TA,TA,TA,Rec,GasA,Gd,Y,1,0,3,TA,5,Attchd,Fin,2,TA,TA,2009,10,WD,Normal,42.042966,-93.613556,120.495191,120.495191,0,120.495191,46.265693999999996,792.648396,153,0,1.2697602180654661
39,RL,68,Pave,Reg,NAmes,1Fam,1Story,5,7,1953,TA,VinylSd,Gd,TA,TA,GLQ,GasA,TA,Y,1,0,3,Gd,5,Detchd,Unf,1,TA,TA,2010,1,WD,Abnorml,42.042966,-93.613556,98.198471,98.198471,0,98.198471,22.854138,735.977566,109,0,1.1099969163470988
40,RL,65,Pave,Reg,Edwards,Duplex,1Story,4,5,1955,TA,AsbShng,TA,NA,NA,NA,GasA,TA,N,2,0,2,Fa,6,NA,NA,0,NA,NA,2008,6,WD,AdjLand,42.0228,-93.66304,0,107.024256,0,107.024256,0,561.13412,82,0,0.7661814532959706
41,RL,84,Pave,Reg,NAmes,1Fam,1Story,6,5,1965,TA,Wd Sdng,TA,TA,TA,Rec,GasA,Ex,Y,2,0,3,TA,6,Attchd,RFn,2,TA,TA,2006,12,WD,Abnorml,42.042966,-93.613556,101.078464,123.003572,0,123.003572,40.87732,804.354174,160,0,1.300775232771289
42,RL,115,Pave,Reg,Timber,1Fam,1Story,5,6,1959,TA,VinylSd,Gd,TA,TA,BLQ,GasA,Gd,Y,1,1,2,TA,5,Attchd,RFn,1,TA,TA,2007,7,WD,Normal,41.998132,-93.648335,125.41905,123.375184,0,123.375184,28.614124,1570.525215,170,0,1.3779108122748573
43,RL,NA,Pave,IR1,SawyerW,1Fam,SFoyer,5,7,1983,TA,HdBoard,TA,Gd,TA,ALQ,GasA,Gd,Y,1,0,2,Gd,5,Attchd,RFn,2,TA,Gd,2007,12,WD,Normal,42.03554,-93.685131,78.03852,82.126252,0,82.126252,46.823112,852.84954,144,0,1.7533979268894435
44,RL,NA,Pave,IR1,CollgCr,1Fam,1Story,5,6,1975,TA,VinylSd,TA,Gd,TA,LwQ,GasA,TA,Y,1,0,3,TA,5,Detchd,Unf,1,TA,TA,2008,7,WD,Normal,42.021051,-93.685643,87.143014,87.143014,0,87.143014,28.614124,854.7076,130.25,0,1.4946694407425478
45,RL,70,Pave,Reg,NAmes,1Fam,1Story,5,6,1959,TA,BrkFace,TA,TA,TA,ALQ,GasA,Ex,Y,1,0,3,TA,6,Attchd,RFn,1,TA,TA,2006,5,WD,Normal,42.042966,-93.613556,106.83845,106.83845,0,106.83845,27.8709,738.114335,141,0,1.319749584536279
46,RL,61,Pave,Reg,NridgHt,TwnhsE,1Story,9,5,2005,Ex,MetalSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,0,2,Ex,6,Attchd,RFn,2,TA,TA,2010,2,WD,Normal,42.060356,-93.657107,162.766056,162.766056,0,162.766056,53.512128,711.451174,319.9,0,1.9653975027815382
47,RL,48,Pave,IR1,Mitchel,1Fam,1.5Fin,7,5,2003,Gd,VinylSd,TA,Ex,TA,GLQ,GasA,Ex,Y,1,1,1,Gd,6,Attchd,RFn,2,TA,TA,2009,8,WD,Abnorml,42.031307,-93.626967,133.222902,141.026754,58.621793,199.648547,62.24501,1191.202266,239.686,0,1.2005396663367653
48,FV,84,Pave,Reg,Somerst,1Fam,1Story,8,5,2006,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,3,TA,TA,2007,7,WD,Normal,42.052191,-93.643479,153.847368,153.847368,0,153.847368,76.737878,1030.851688,249.7,0,1.6230371909904888
49,RM,33,Pave,Reg,OldTown,2fmCon,2Story,4,5,1920,TA,MetalSd,TA,TA,TA,Unf,GasA,Gd,Y,2,0,2,TA,8,NA,NA,0,NA,NA,2009,6,New,Partial,42.028863,-93.615497,68.376608,68.376608,66.518548,134.895156,0,413.975768,113,0,0.8376876038454636
50,RL,66,Pave,Reg,Sawyer,1Fam,1Story,5,7,1966,TA,HdBoard,TA,TA,TA,BLQ,GasA,Ex,Y,1,0,3,TA,6,Attchd,Unf,1,TA,TA,2007,1,WD,Normal,42.033611,-93.669348,88.722365,88.722365,0,88.722365,35.860558,719.255026,127,0,1.4314316350787089
51,RL,NA,Pave,IR2,Gilbert,1Fam,2Story,6,6,1997,TA,VinylSd,TA,Gd,TA,GLQ,GasA,Gd,Y,2,0,3,TA,6,Attchd,Fin,2,TA,TA,2007,7,WD,Normal,42.027885,-93.615692,73.764982,73.764982,62.802428,136.56741,36.046364,1288.471707,177,0,1.2960632408566584
52,RM,52,Pave,Reg,BrkSide,1Fam,1.5Fin,6,6,1934,TA,Wd Sdng,TA,TA,TA,Unf,GasA,TA,Y,1,0,3,TA,6,Detchd,Unf,2,TA,TA,2006,9,WD,Normal,42.03359,-93.627552,75.808848,75.808848,0,109.253928,49.052784,579.7147199999999,114.5,0.4,1.0480172392520295
53,RM,110,Grvl,IR2,IDOTRR,Duplex,1Story,5,5,1963,Fa,Wd Sdng,TA,Gd,TA,LwQ,GasA,TA,N,1,0,2,TA,5,CarPort,Unf,2,TA,TA,2010,5,WD,Normal,42.019208,-93.623401,75.808848,75.808848,0,75.808848,47.937948,787.074216,110,0,1.451017960330963
54,RL,68,Pave,IR1,Veenker,1Fam,1Story,9,5,1981,Gd,WdShing,TA,Ex,TA,GLQ,GasA,Gd,Y,0,1,0,Gd,5,Attchd,Fin,3,TA,TA,2006,11,WD,Normal,42.040106,-93.657032,171.127326,171.127326,0,171.127326,83.055282,4670.326713,385,0,2.2497868049431218
55,RL,60,Pave,Reg,NAmes,1Fam,SLvl,5,5,1955,TA,MetalSd,TA,TA,TA,ALQ,GasA,TA,Y,1,0,3,TA,6,Detchd,Unf,2,TA,TA,2007,2,WD,Normal,42.042966,-93.613556,35.674752,126.34808,0,126.34808,53.140516,662.770002,130,0,1.0289036445983193
56,RL,100,Pave,IR1,NAmes,1Fam,1Story,6,5,1964,TA,HdBoard,TA,TA,TA,BLQ,GasA,Gd,Y,2,0,3,TA,7,Attchd,RFn,2,TA,TA,2008,7,WD,Normal,42.042966,-93.613556,132.386775,132.386775,0,132.386775,53.512128,945.288025,180.5,0,1.3634292398164394
57,FV,24,Pave,Reg,Somerst,Twnhs,2Story,8,5,1999,Gd,MetalSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,1,3,Gd,7,Attchd,Fin,2,TA,TA,2009,8,WD,Abnorml,42.052191,-93.643479,90.11591,91.323649,70.234668,161.558317,44.59344,245.728435,172.5,0,1.0677259035819247
58,RL,89,Pave,IR1,CollgCr,1Fam,2Story,7,5,2004,Gd,VinylSd,TA,Gd,TA,Unf,GasA,Ex,Y,2,1,3,Gd,7,Attchd,RFn,2,TA,TA,2006,8,WD,Normal,42.021051,-93.685643,79.89658,79.89658,79.89658,159.79316,52.490195,1081.855435,196.5,0,1.2297147136961306
59,RL,66,Pave,IR2,StoneBr,1Fam,2Story,10,5,2006,Ex,VinylSd,TA,Ex,TA,Unf,GasA,Ex,Y,3,1,3,Gd,10,BuiltIn,Fin,3,TA,TA,2006,10,New,Partial,42.060752,-93.628955,130.99323,132.479678,141.119657,273.599335,59.550823,1271.098846,438.78,0,1.6037319681350832
60,RL,60,Pave,Reg,CollgCr,1Fam,1Story,5,7,1972,TA,HdBoard,TA,TA,TA,ALQ,GasA,Ex,Y,1,0,2,TA,4,Detchd,Unf,1,TA,TA,2008,1,WD,Normal,42.021051,-93.685643,72.46433999999999,72.46433999999999,0,72.46433999999999,32.701856,668.9016,124.9,0,1.7236063972983127
61,RL,63,Pave,Reg,SawyerW,1Fam,1Story,6,5,2004,TA,VinylSd,TA,Gd,TA,ALQ,GasA,Ex,Y,1,1,3,Gd,5,Detchd,Unf,2,TA,TA,2006,5,New,Partial,42.03554,-93.685131,107.58167399999999,107.58167399999999,0,107.58167399999999,53.512128,1214.428016,158,0,1.4686516218366337
62,RM,60,Pave,Reg,IDOTRR,1Fam,2.5Unf,5,7,1920,TA,MetalSd,TA,TA,Fa,Unf,GasA,TA,N,1,0,3,Fa,6,Detchd,Unf,1,TA,TA,2007,3,WD,Normal,42.019208,-93.623401,49.23859,53.976643,49.23859,103.215233,26.756064,668.9016,101,0,0.9785377319256742
63,RL,44,Pave,IR1,NridgHt,TwnhsE,1Story,8,5,2006,Gd,VinylSd,TA,Gd,Gd,GLQ,GasA,Ex,Y,2,0,2,Gd,6,Attchd,RFn,2,TA,TA,2007,10,WD,Normal,42.060356,-93.657107,127.27711,127.27711,0,127.27711,44.965052,598.481126,202.5,0,1.591016640776963
64,RM,50,Pave,IR1,OldTown,1Fam,2Story,7,6,1921,TA,Stucco,TA,TA,TA,Unf,GasA,Gd,Y,2,0,3,TA,9,Detchd,Unf,2,TA,TA,2010,4,WD,Normal,42.028863,-93.615497,53.512128,83.798506,75.065624,158.86413,44.59344,956.9009,140,0,0.8812562030207827
65,RL,NA,Pave,Reg,CollgCr,1Fam,2Story,7,5,1997,TA,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,1,3,Gd,8,Attchd,RFn,2,TA,TA,2009,2,WD,Normal,42.021051,-93.685643,98.198471,98.198471,90.766231,188.964702,59.922435,870.965625,219.5,0,1.1615926026226846
66,RL,76,Pave,Reg,NridgHt,1Fam,2Story,8,5,2004,Gd,VinylSd,TA,Ex,TA,Unf,GasA,Ex,Y,2,1,4,Gd,9,BuiltIn,RFn,3,TA,TA,2007,10,WD,Normal,42.060356,-93.657107,106.188129,106.188129,123.56099,229.749119,79.153356,891.032673,317,0,1.3797659002122222
67,RL,NA,Pave,Reg,NAmes,1Fam,1Story,7,5,1970,TA,Plywood,TA,Gd,TA,GLQ,GasA,TA,Y,2,0,3,TA,7,Attchd,RFn,2,TA,TA,2010,7,WD,Normal,42.042966,-93.613556,180.882141,205.036921,0,205.036921,53.512128,1848.7697,180,0,0.8778906702368984
68,RL,72,Pave,IR1,CollgCr,1Fam,1Story,7,5,2003,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,2,TA,TA,2007,6,WD,Normal,42.021051,-93.685643,134.988059,137.403537,0,137.403537,51.839874,990.810495,226,0,1.6447902647513362
69,RM,47,Pave,Reg,OldTown,1Fam,1Story,4,6,1945,TA,MetalSd,Gd,TA,TA,Unf,GasA,TA,Y,1,0,2,TA,4,Attchd,Unf,1,TA,TA,2010,6,WD,Normal,42.028863,-93.615497,69.398541,69.398541,0,69.398541,20.43866,428.097024,80,0,1.15276198673975
70,RL,81,Pave,Reg,ClearCr,1Fam,1.5Fin,7,4,1953,Gd,BrkFace,TA,TA,TA,BLQ,GasW,TA,Y,2,0,3,TA,7,Attchd,Fin,2,TA,TA,2006,7,WD,Normal,42.025425,-93.675741,121.145512,121.145512,91.323649,212.46916099999999,61.966301,1448.636479,225,0,1.058977213168362
71,RL,95,Pave,IR1,NAmes,1Fam,1Story,7,6,1973,TA,Plywood,Gd,Gd,TA,ALQ,GasA,Ex,Y,2,0,3,TA,8,Attchd,Fin,2,TA,TA,2007,2,WD,Normal,42.042966,-93.613556,206.523369,206.523369,0,206.523369,47.937948,1268.218853,244,0,1.1814643600937964
72,RL,69,Pave,Reg,Mitchel,1Fam,1Story,4,6,1982,TA,HdBoard,TA,TA,TA,ALQ,GasA,TA,Y,1,0,2,TA,4,Detchd,Unf,2,TA,TA,2007,6,WD,Normal,42.031307,-93.626967,78.503035,78.503035,0,78.503035,33.44508,705.969897,129.5,0,1.6496177504474827
73,RL,74,Pave,IR1,Gilbert,1Fam,2Story,7,5,1998,TA,VinylSd,TA,Gd,TA,Unf,GasA,Gd,Y,2,1,3,TA,7,Attchd,Fin,2,TA,TA,2009,12,WD,Normal,42.027885,-93.615692,77.295296,82.219155,77.388199,159.607354,39.669581,942.129323,185,0,1.1590944612740088
74,RL,85,Pave,Reg,NAmes,1Fam,1Story,5,7,1954,TA,Wd Sdng,TA,TA,TA,ALQ,GasA,Gd,Y,1,0,3,TA,6,Attchd,Unf,2,TA,TA,2010,5,WD,Normal,42.042966,-93.613556,100.892658,100.892658,0,100.892658,45.52247,947.6106,144.9,0,1.4361798258898086
75,RM,60,Pave,Reg,OldTown,1Fam,2Story,3,6,1915,Gd,VinylSd,Gd,Fa,TA,Unf,GasA,Gd,N,2,0,3,TA,8,Detchd,Unf,1,TA,TA,2010,5,WD,Normal,42.028863,-93.615497,78.03852,78.03852,71.070795,149.109315,35.210237,537.90837,107.4,0,0.7202769323968794
76,RM,21,Pave,Reg,MeadowV,Twnhs,SLvl,4,5,1973,TA,CemntBd,TA,Gd,TA,GLQ,GasA,TA,Y,1,0,2,TA,5,BuiltIn,Unf,1,TA,TA,2009,11,WD,Normal,41.991866,-93.602441,42.921186,48.866978,42.921186,91.788164,27.592191,148.273188,91,0,0.9914132283983805
77,RL,NA,Pave,IR1,NAmes,1Fam,1Story,4,7,1956,TA,VinylSd,TA,TA,TA,ALQ,GasA,Ex,Y,1,0,2,TA,4,Detchd,Unf,1,TA,TA,2008,4,WD,Normal,42.042966,-93.613556,88.443656,88.443656,0,88.443656,26.291549,787.352925,135.75,0,1.5348754918046355
78,RM,50,Pave,Reg,BrkSide,1Fam,1.5Fin,5,5,1948,TA,Wd Sdng,TA,TA,TA,BLQ,GasA,TA,Y,1,0,2,TA,6,Detchd,Unf,1,TA,TA,2008,1,WD,Normal,42.03359,-93.627552,62.430816,99.592016,19.788339,119.380355,22.29672,802.217405,127,0,1.0638266237355385
79,RL,72,Pave,Reg,Sawyer,Duplex,1Story,4,5,1968,TA,HdBoard,TA,TA,TA,Unf,GasA,TA,N,2,0,4,TA,8,NA,NA,0,NA,NA,2010,4,WD,Normal,42.033611,-93.669348,164.252504,164.252504,0,164.252504,0,1001.308534,136.5,0,0.8310375590986425
80,RM,60,Pave,Reg,OldTown,1Fam,2Story,5,6,1910,TA,Wd Sdng,TA,TA,TA,Unf,GasA,Gd,Y,1,1,2,TA,5,Detchd,Unf,2,TA,TA,2009,5,WD,Normal,42.028863,-93.615497,40.87732,63.359846,50.910844,114.27069,40.87732,969.90732,110,0,0.9626265492927364
